team,alpha_attack,beta_defence
Bayern München W,1.684602391861412,0.1935214410501853
Duisburg WFC,0.4455462851655007,2.7485878667092805
Eintracht Frankfurt W,1.2008931024688816,1.0866706421149719
Hoffenheim W,1.2767756226337272,1.5943899043671754
Köln,0.7246480432011143,1.9245304495398472
Nürnberg W,0.46304512479232907,2.7516354159453726
RB Leipzig W,0.7524021177577328,1.8313822711869667
SC Freiburg,0.7257208859820499,1.954912693164029
SGS Essen 19/68,0.9192402423097412,1.1565020996004802
SV Werder Bremen,0.9874225387185931,1.371139374630158
TSV Bayer 04 Leverkusen,0.8895992303502134,1.035256130473144
VfL Wolfsburg WFC,1.9301044147587045,0.8271618692020933
