team,alpha_attack,beta_defence
Bengaluru,0.9388700276366063,1.2375364633375794
Chennaiyin,0.5998071880769911,1.6292653406539872
East Bengal,0.6211653649525428,1.690075466115496
Goa,0.8838070682284956,1.6973265985610446
Hyderabad,1.4449054956123348,1.1419090572594182
Jamshedpur,1.2553106227988717,0.8924993980637448
Kerala Blasters,1.135393215827462,0.9909977235275161
Mohun Bagan Super Giant,1.1844360821967808,1.17527335176632
Mumbai City,1.24878168683544,1.384941279802529
NorthEast United,0.7593422893047609,2.017683877027504
Odisha,0.9281809585297155,1.962971697539151
