team,alpha_attack,beta_defence
Bayern München W,1.7080842105009424,0.21447829157846268
Duisburg WFC,0.4182156506734736,2.721318674125496
Eintracht Frankfurt W,1.2000956609729796,1.0566155731152098
Hoffenheim W,1.2781659172577116,1.5963856226218902
Köln,0.7268611836733591,1.9055123178846032
Nürnberg W,0.46186010710691766,2.694392086352638
RB Leipzig W,0.7467563822599974,1.8016439602761405
SC Freiburg,0.7254264966937445,1.9134513641072002
SGS Essen 19/68,0.9081049549675674,1.135780763170459
SV Werder Bremen,0.9879715137419683,1.3123827559036811
TSV Bayer 04 Leverkusen,0.8827993860254244,0.9938908424286637
VfL Wolfsburg WFC,1.9556585361259118,0.7875726280571967
