team,alpha_attack,beta_defence
Athletic Club,1.1409868174980764,0.7732254765235019
Atlético Madrid,1.1889199597400006,0.20549631748286373
Barcelona,2.3644756439642456,0.4657773724489945
Celta Vigo,0.9775804428461079,1.0301879765232205
Eibar,0.9736231134277659,1.10706709768496
Espanyol,0.7744631716399735,1.3746891760857591
Getafe,0.6465841212162248,1.262933844768306
Granada,0.8684784615795252,1.2338891339235551
Las Palmas,0.8107328814936119,0.9418022769810942
Levante UD,0.6327539142762851,1.2373277674977963
Málaga,0.6396628852867875,0.5348626523824196
RC Deportivo La Coruña,0.814211217739124,1.0801854946502838
Rayo Vallecano,1.061383266404867,1.3784256579019065
Real Betis,0.5718598112967024,0.885398897842103
Real Madrid,2.4031637793536955,0.5716155441099073
Real Sociedad,0.8639295573231403,0.8139077074313851
Sevilla,0.9650365431498101,0.8449581455057581
Sporting Gijón,0.7387404203001585,1.0869401281127136
Valencia,0.7780338089321889,0.7820508384612634
Villarreal,0.7853801825317094,0.5447901288340596
