team,alpha_attack,beta_defence
AS Monaco,1.2410781104801318,0.850326041825305
Angers,0.8115714652396256,0.5943796359993355
Bastia,0.693180233466344,0.5883097320652173
Bordeaux,0.9820498936799786,0.940360461736883
Gazélec Ajaccio,0.7103031320855931,1.0426794924528515
Guingamp,1.018882212183347,0.9785543456604741
Lille,0.7393288340928433,0.2829368487701623
Lorient,1.0233812210605826,1.0408532988012273
Lyon,1.5014419552937297,0.7404584546435261
Montpellier,1.046479725250832,0.7772725755918082
Nantes,0.6371257858094188,0.7384755465254346
OGC Nice,1.2829098198819435,0.6889942346998732
Olympique de Marseille,0.952689682119323,0.6988693353316098
Paris Saint-Germain,2.3774391686178658,0.26751202645633676
Rennes,1.110256860473996,0.9629478296479962
Saint-Étienne,0.8175428721822718,0.5601962917755606
Stade Malherbe Caen,0.7727045530004579,0.8890826980325078
Stade de Reims,0.8846121420269364,0.9843965166715697
Toulouse,0.9264585996262793,0.9459142691917367
Troyes,0.47056373342850444,1.4980741693090205
