parameter,estimate
gamma_h,1.1809314147504606
rho1,4.174208598450425
rho2,7.936105096863762
thetaH_lead_scored,0.6822695760376313
thetaH_lead_conceded,0.26019993869052327
thetaH_behind_scored,1.6774047375782577
thetaH_behind_conceded,0.6084725723213109
thetaH_level_scored,1.1705069735931666
thetaH_level_conceded,1.1517413163278318
thetaA_lead_scored,0.6966548891630384
thetaA_lead_conceded,1.554723057429093
thetaA_behind_scored,1.0551681244475273
thetaA_behind_conceded,1.5337073426435277
thetaA_level_scored,1.4915559302033812
thetaA_level_conceded,1.4751540486314467
xi1,0.46410684042336964
xi2,0.2981400515764813
