parameter,estimate
gamma_h,0.6342213765077551
rho1,2.313585744868923
rho2,8.99208195050531
thetaH_lead_scored,1.3560642738768023
thetaH_lead_conceded,0.8146152033706517
thetaH_behind_scored,1.626460364603631
thetaH_behind_conceded,0.9097128675135497
thetaH_level_scored,0.9828364842611479
thetaH_level_conceded,2.089306820451911
thetaA_lead_scored,1.067238854984781
thetaA_lead_conceded,1.2702524273736844
thetaA_behind_scored,1.149441927512848
thetaA_behind_conceded,1.3744732348136608
thetaA_level_scored,1.4243005062988146
thetaA_level_conceded,1.1233546921141226
xi1,0.14515757353273354
xi2,-1.3255462444882138
