parameter,estimate
gamma_h,0.6973012550878359
rho1,5.256346124906071
rho2,7.263833683867127
thetaH_lead_scored,1.012475295456347
thetaH_lead_conceded,0.8644201819504451
thetaH_behind_scored,1.272183827303462
thetaH_behind_conceded,1.111790000293653
thetaH_level_scored,0.8612245270371789
thetaH_level_conceded,0.9031997298120663
thetaA_lead_scored,0.917998882995521
thetaA_lead_conceded,0.3134486230569314
thetaA_behind_scored,1.640003344450438
thetaA_behind_conceded,1.414515682571858
thetaA_level_scored,0.4944005517799583
thetaA_level_conceded,0.7387808646193101
xi1,0.5696969362708264
xi2,-0.3308855990768674
