parameter,estimate
gamma_h,1.5081738643452192
rho1,2.246377472848209
rho2,4.556973843133337
thetaH_lead_scored,0.7791775106403902
thetaH_lead_conceded,1.0190664765052904
thetaH_behind_scored,0.9613671896239581
thetaH_behind_conceded,0.9007521710219446
thetaH_level_scored,0.7004911739810562
thetaH_level_conceded,0.6648608343481051
thetaA_lead_scored,0.7149021473736651
thetaA_lead_conceded,0.9586548473292286
thetaA_behind_scored,0.8280729328455727
thetaA_behind_conceded,0.7579717047781733
thetaA_level_scored,0.6668673946682688
thetaA_level_conceded,0.7025580714930724
xi1,0.5113889899122069
xi2,0.5148216873867568
