parameter,estimate
gamma_h,1.5832776145849672
rho1,3.627471769896265
rho2,7.749560700919946
thetaH_lead_scored,0.7620060017642603
thetaH_lead_conceded,0.8927127862410575
thetaH_behind_scored,0.04978706837050283
thetaH_behind_conceded,1.0096550680892722
thetaH_level_scored,0.5440382800834123
thetaH_level_conceded,0.4579984263302096
thetaA_lead_scored,0.7600786462472707
thetaA_lead_conceded,0.5304752631055203
thetaA_behind_scored,1.3447551176867432
thetaA_behind_conceded,1.0594622749833513
thetaA_level_scored,1.1396644281445476
thetaA_level_conceded,1.4370864282818108
xi1,0.3084063364965999
xi2,0.45747518449365965
