parameter,estimate
gamma_h,1.3891389763407052
rho1,4.464376249545945
rho2,4.824146422134669
thetaH_lead_scored,1.0122114532232898
thetaH_lead_conceded,0.8095532362855025
thetaH_behind_scored,0.8653823063395936
thetaH_behind_conceded,1.290794771066566
thetaH_level_scored,1.1655385983882258
thetaH_level_conceded,0.7761916503369849
thetaA_lead_scored,1.0447279456436187
thetaA_lead_conceded,0.6529041551864223
thetaA_behind_scored,1.4613733450893895
thetaA_behind_conceded,1.1714275773518024
thetaA_level_scored,0.9524277060621371
thetaA_level_conceded,0.8798639381098944
xi1,0.49255896580271163
xi2,0.583906356510929
