state,side,exposure,goals,goals_per_match
00,away,41.88999999999999,66,1.5755550250656483
lead_scored,away,39.73740740740742,76,1.9125555731608426
lead_conceded,away,2.2961111111111117,5,2.177594967336075
behind_scored,away,1.7272222222222222,1,0.5789642972016725
behind_conceded,away,37.28833333333335,30,0.804541188039154
level_scored,away,3.0051851851851854,8,2.6620655656889327
level_conceded,away,6.05574074074074,10,1.6513256475337148
00,home,41.88999999999999,58,1.3845786583910242
lead_scored,home,37.28833333333335,97,2.601349841326598
lead_conceded,home,1.7272222222222222,3,1.7368928916050177
behind_scored,home,2.2961111111111117,6,2.61311396080329
behind_conceded,home,39.73740740740742,46,1.15759942586051
level_scored,home,6.05574074074074,9,1.4861930827803433
level_conceded,home,3.0051851851851854,7,2.329307369977816
