state,side,exposure,goals,goals_per_match
00,away,39.4648148148148,56,1.4189855004457796
lead_scored,away,27.9588888888889,48,1.7168064221277266
lead_conceded,away,1.9140740740740743,0,0.0
behind_scored,away,2.192037037037037,5,2.2809833572695783
behind_conceded,away,25.577222222222222,50,1.954864354134538
level_scored,away,9.409444444444448,7,0.7439334002479775
level_conceded,away,8.48351851851852,9,1.0608805745345002
00,home,39.4648148148148,54,1.3683074468584304
lead_scored,home,25.577222222222222,50,1.954864354134538
lead_conceded,home,2.192037037037037,5,2.2809833572695783
behind_scored,home,1.9140740740740743,4,2.089783281733746
behind_conceded,home,27.9588888888889,43,1.537972419822755
level_scored,home,8.48351851851852,14,1.6502586714981113
level_conceded,home,9.409444444444448,13,1.3815906004605296
