state,side,exposure,goals,goals_per_match
00,away,154.46370370370354,152,0.9840499506056809
lead_scored,away,72.05925925925928,104,1.4432565789473681
lead_conceded,away,6.712777777777777,9,1.340726640734917
behind_scored,away,8.37166666666667,14,1.6723073860242876
behind_conceded,away,101.64185185185174,128,1.2593237693717607
level_scored,away,20.034074074074077,27,1.3477039118538783
level_conceded,away,16.716666666666665,25,1.4955134596211368
00,home,154.46370370370354,196,1.2689065152546937
lead_scored,home,101.64185185185174,178,1.7512471167826047
lead_conceded,home,8.37166666666667,14,1.6723073860242876
behind_scored,home,6.712777777777777,9,1.340726640734917
behind_conceded,home,72.05925925925928,117,1.6236636513157892
level_scored,home,16.716666666666665,27,1.6151545363908277
level_conceded,home,20.034074074074077,26,1.2977889521555865
