league,season,file,n_matches,loglik_shared,loglik_separate,LR_stat,df,p_value,AIC_shared,AIC_separate,BIC_shared,BIC_separate,converged_shared,converged_separate,message_shared,message_separate
FA Women's Super League,2018/2019,WSL2018-2019_goals_and_red_cards.csv,107,-1000000105.1849033,-1000000104.9678762,0.4340541362762451,6,0.9985509332629203,2000000276.3698065,2000000287.9357524,2000000364.573158,2000000392.176077,True,True,[WARNING] 1 match(es) still have non-positive scoring intensity; log-likelihood/AIC/BIC are not reliable. Optimization terminated successfully.,[WARNING] 1 match(es) still have non-positive scoring intensity; log-likelihood/AIC/BIC are not reliable. Optimization terminated successfully.
FA Women's Super League,2019/2020,WSL2019-2020_goals_and_red_cards.csv,87,-60.47479358980827,-56.20165788167252,8.546271416271509,6,0.20074886665993286,190.94958717961654,194.40331576334503,277.256371332527,295.50554862818296,True,True,Optimization terminated successfully.,Optimization terminated successfully.
FA Women's Super League,2020/2021,WSL2020-2021_goals_and_red_cards.csv,131,-90.9607717899533,-88.43225754532112,5.057028489264354,6,0.5365198974669219,251.9215435799066,258.86451509064227,352.5534498919469,376.7476053418894,True,True,Optimization terminated successfully.,Optimization terminated successfully.
FA Women's Super League,2023/2024,WSL2023-2024_goals_and_red_cards.csv,132,-82.65335904692651,-77.52233651031236,10.262045073228308,6,0.11404169839455996,235.30671809385302,237.0446730206247,336.204785384376,355.2395518466659,True,True,Optimization terminated successfully.,Optimization terminated successfully.
Frauen Bundesliga,2023/2024,FB2023-2024_goals_and_red_cards.csv,132,-4000000121.5219426,-117.95497980430167,8000000007.133925,6,0.0,8000000313.043885,317.90995960860334,8000000413.941953,436.10483843464453,True,True,[WARNING] 4 match(es) still have non-positive scoring intensity; log-likelihood/AIC/BIC are not reliable. Optimization terminated successfully.,Optimization terminated successfully.
Indian Super league,2021/2022,ISL2021-2022_goals_and_red_cards.csv,115,-120.67730412987922,-120.45297195365498,0.4486643524484748,6,0.998408272582328,307.35460825975844,318.90594390730996,397.93736849574566,425.9582969134767,True,True,Optimization terminated successfully.,Optimization terminated successfully.
La Liga,2015/2016,LL2015-2016_goals_and_red_cards.csv,380,-521.1117283706474,-520.8042062678586,0.6150442055775329,6,0.9961443762395731,1144.2234567412947,1155.6084125357172,1345.1721906300368,1380.1981739407818,True,True,Optimization terminated successfully.,Optimization terminated successfully.
Liga F,2023/2024,LF2023-2024_goals_and_red_cards.csv,240,-161.3734748012644,-154.98659163919325,12.773766324142287,6,0.046772583608076894,408.7469496025288,407.9731832783865,558.4144233062344,578.5244905221441,True,True,Optimization terminated successfully.,Optimization terminated successfully.
Ligue 1,2015/2016,L12015-2016_goals_and_red_cards.csv,377,-581.2508888589007,-580.1752105426375,2.1513566325263582,6,0.9052651443454359,1264.5017777178014,1274.350421085275,1465.0462822776499,1498.4883967698115,True,True,Optimization terminated successfully.,Optimization terminated successfully.
Premier League,2015/2016,PL2015-2016_goals_and_red_cards.csv,380,-555.579453558157,-554.8048524945922,1.549202127129547,6,0.9561594929929637,1213.158907116314,1223.6097049891844,1414.107641005056,1448.199466394249,True,True,Optimization terminated successfully.,Optimization terminated successfully.
Serie A,2015/2016,SA2015-2016_goals_and_red_cards.csv,380,-574.321533090337,-572.3455301820608,3.9520058165524006,6,0.6831714090246066,1250.643066180674,1258.6910603641215,1451.591800069416,1483.280821769186,True,True,Optimization terminated successfully.,Optimization terminated successfully.
