team,alpha_attack,beta_defence
Bayern München W,1.7203306672675749,0.16821627308248607
Duisburg WFC,0.4168078311929881,2.6904958803297183
Eintracht Frankfurt W,1.1932828787064305,1.049260077101294
Hoffenheim W,1.279733788503577,1.5528257842632254
Köln,0.7119680453792077,1.8581819828928194
Nürnberg W,0.47123888387767154,2.669220577495616
RB Leipzig W,0.7431376902016436,1.7640777294257879
SC Freiburg,0.7100412361073909,1.8825681838146324
SGS Essen 19/68,0.91871675778733,1.1184603558269153
SV Werder Bremen,0.9802343016830536,1.281440327874351
TSV Bayer 04 Leverkusen,0.8853112300265258,0.9831150841104478
VfL Wolfsburg WFC,1.9691966892666075,0.828426937084534
