team,alpha_attack,beta_defence
Bengaluru,0.9224129175900435,1.3250778339015012
Chennaiyin,0.5678560170853187,1.7365590236452924
East Bengal,0.5496960333557733,1.7870011668809456
Goa,0.9353745406120179,1.8962714941518926
Hyderabad,1.4831324648535893,1.1604532484340009
Jamshedpur,1.2854891826097066,0.895565474521949
Kerala Blasters,1.142476823634112,1.0431493511292218
Mohun Bagan Super Giant,1.246721211587328,1.2681851437969374
Mumbai City,1.2254150864173978,1.5127238694889047
NorthEast United,0.7451412495571819,2.2619551914261797
Odisha,0.8962844726975308,2.2249964242249742
