team,alpha_attack,beta_defence
Athletic Club,1.1439846788696335,0.8017003587468697
Atlético Madrid,1.1870567846774693,0.18844272029676143
Barcelona,2.3825239686453883,0.4694600964818069
Celta Vigo,0.9855599589251701,1.0991697093409782
Eibar,1.0107553518963057,1.2005406492854735
Espanyol,0.7869357260414914,1.4894687921839498
Getafe,0.6138130640866835,1.3322239078881721
Granada,0.8529089962231169,1.2931019317193193
Las Palmas,0.8039138597295203,0.995651306107234
Levante UD,0.6092529549850181,1.2742017578819598
Málaga,0.616295693787718,0.5357511056296576
RC Deportivo La Coruña,0.8378880753667078,1.1690899698836443
Rayo Vallecano,1.090112213595961,1.4866196155614495
Real Betis,0.5544023835602462,0.9321269939477301
Real Madrid,2.4367740922770045,0.5839597981595681
Real Sociedad,0.881107273085814,0.8505957049820727
Sevilla,0.9458491496202123,0.869528898305724
Sporting Gijón,0.7353342042980457,1.1235793224005732
Valencia,0.7544157000233443,0.7970282328181962
Villarreal,0.7711158703051522,0.551859706071981
