team,alpha_attack,beta_defence
Bayern München W,1.5747464496921124,1.2937063390676449
Duisburg WFC,0.7695550109243685,2.903356090533294
Eintracht Frankfurt W,1.0442548831001865,1.5879465888885946
Hoffenheim W,1.2214026811727958,2.0080869408081203
Köln,0.7723561837304493,2.1705462095315142
Nürnberg W,0.8086216291795703,2.981123697421869
RB Leipzig W,0.7553401044546312,2.077938120004698
SC Freiburg,0.8762394181599579,2.3556160060021156
SGS Essen 19/68,0.9203468604247057,1.5829058716488014
SV Werder Bremen,1.0467768459469062,1.850944796467996
TSV Bayer 04 Leverkusen,0.9190946360135296,1.6744529502177155
VfL Wolfsburg WFC,1.2912652972007856,1.34423858928094
