team,alpha_attack,beta_defence
Bengaluru,0.9243024811574405,1.3509060937630069
Chennaiyin,0.5362664816521693,1.720644857372544
East Bengal,0.5463401945796533,1.9684792749779487
Goa,0.9500792983098403,1.8627714072012016
Hyderabad,1.4775575826843796,1.1562855517789383
Jamshedpur,1.3000188943478155,0.9115713717143512
Kerala Blasters,1.122633419073302,1.0539191130230492
Mohun Bagan Super Giant,1.0141631977117824,1.2480105777384933
Mumbai City,1.1899065829440771,1.4948585637993568
NorthEast United,1.0141632090632438,2.307565921009975
Odisha,0.9245686584762943,2.2310498180744047
