team,alpha_attack,beta_defence
AS Monaco,1.2367594823103545,0.8423166151530905
Angers,0.8034234325038623,0.5824241871027558
Bastia,0.6926179339357441,0.5785432301930109
Bordeaux,0.9733196376943382,0.9298913760690564
Gazélec Ajaccio,0.71313270830438,1.0326664163577681
Guingamp,1.022585293038098,0.9547386602651999
Lille,0.7363167644388949,0.280168704992503
Lorient,1.0182713275397979,1.027775829303079
Lyon,1.52344723950922,0.7484774372337037
Montpellier,1.041343468915092,0.7598525812760146
Nantes,0.631383885029109,0.7314942251361144
OGC Nice,1.2745855186067006,0.6773921014717093
Olympique de Marseille,0.9635226019626877,0.6940463918896252
Paris Saint-Germain,2.3941232011397733,0.2600754355094639
Rennes,1.1208933715978817,0.9554866195827708
Saint-Étienne,0.810512164995023,0.5457347325428464
Stade Malherbe Caen,0.7680397135402983,0.8760665623180642
Stade de Reims,0.8850646533399511,0.9802673175864822
Toulouse,0.9225421408332334,0.9364118670102987
Troyes,0.4681154607655656,1.4879799706922352
