team,alpha_attack,beta_defence
Bayern München W,1.3456029874333497,1.3181998010634646
Duisburg WFC,0.6685233757184924,2.863878370802232
Eintracht Frankfurt W,1.0780929378499697,1.5058856487183552
Hoffenheim W,1.1086743446543064,1.812476176247384
Köln,0.7337884356312856,2.0544771748536914
Nürnberg W,0.7593977141052356,2.837242614891223
RB Leipzig W,0.8448196719953494,1.989440127290652
SC Freiburg,0.8307761538718345,2.2766497368343246
SGS Essen 19/68,0.9126604743324532,1.6020417539916316
SV Werder Bremen,1.0041150439212343,1.726919489295261
TSV Bayer 04 Leverkusen,0.9296254753345073,1.639771504698362
VfL Wolfsburg WFC,1.783923385151981,1.354368633993373
